,id,female,age,school,asvab2,asvab3,asvab4,asvab5,asvab6,asvabc,height,weight85,weight94,sch_moth,sch_fath,siblings,library,pov78,exp,earnings,hours,tenure,collbarg,urban,ethnic,educ,faith,region,cat_emp,marital
0,6.0,male,41.0,16.0,66.0,61.0,62.0,60.0,63.0,66.07963,65.0,200.0,190.0,12.0,12.0,1.0,yes,no,19.903847,27.11,40.0,9.673077,no,yes,white,degree,catholic,north central,government,married
1,7.0,male,38.0,12.0,45.0,51.0,41.0,49.0,43.0,46.1784,69.0,155.0,157.0,12.0,12.0,1.0,yes,no,10.596154,13.62,44.0,7.7884617,no,yes,white,high school dip,catholic,north eastern,private,divorced
2,8.0,female,43.0,14.0,43.0,61.0,53.0,41.0,51.0,51.08555,64.0,155.0,238.0,9.0,6.0,7.0,yes,no,15.326923,15.14,40.0,14.076923,no,yes,white,associate degree,other,north eastern,private,divorced
3,13.0,male,43.0,16.0,66.0,54.0,56.0,52.0,40.0,62.535572,72.0,175.0,200.0,12.0,16.0,2.0,yes,no,19.153847,15.62,48.0,0.40384614,no,yes,white,high school dip,catholic,north eastern,private,divorced
4,14.0,female,38.0,18.0,61.0,57.0,62.0,59.0,54.0,62.26295,67.0,145.0,180.0,12.0,12.0,2.0,yes,no,12.769231,28.63,45.0,3.75,no,yes,white,masters,catholic,north eastern,private,divorced
5,16.0,female,43.0,13.0,49.0,55.0,53.0,62.0,57.0,52.721268,63.0,135.0,155.0,12.0,12.0,3.0,yes,no,20.326923,31.0,25.0,15.884615,no,yes,white,high school dip,catholic,north eastern,private,married
6,17.0,male,45.0,13.0,65.0,59.0,56.0,52.0,57.0,63.35343,69.0,160.0,182.0,12.0,15.0,2.0,yes,no,21.923077,29.61,50.0,4.269231,no,yes,white,high school dip,other,north eastern,private,married
7,18.0,male,44.0,13.0,66.0,61.0,59.0,62.0,59.0,65.261765,66.0,155.0,170.0,12.0,16.0,2.0,yes,no,22.076923,113.96,27.0,15.923077,no,yes,white,high school dip,other,western,private,divorced
8,20.0,female,42.0,17.0,49.0,52.0,59.0,54.0,55.0,53.539127,64.0,120.0,130.0,12.0,18.0,2.0,yes,no,16.192308,30.52,32.0,11.634615,no,yes,white,degree,catholic,north eastern,private,married
9,21.0,female,40.0,16.0,65.0,59.0,56.0,62.0,61.0,63.35343,62.0,138.0,160.0,12.0,18.0,2.0,yes,no,18.038462,38.46,45.0,2.0192308,no,yes,white,degree,catholic,north eastern,private,married
